Alpha,T1-10.0 m/s-VLM1, , Alpha,T1-10.0 m/s-VLM1-G0.20, , Alpha,T1-10.0 m/s-VLM1-G0.30, , Alpha,T1-10.0 m/s-VLM1-G0.40, , Alpha,T1-10.0 m/s-VLM1-G0.50, , Alpha,T1-10.0 m/s-VLM1-G0.60, , Alpha,T1-10.0 m/s-VLM1-G0.70, , Alpha,T1-10.0 m/s-VLM1-G0.90, , Alpha,T1-10.0 m/s-VLM1-G1.20, , Alpha,T1-10.0 m/s-VLM1-G1.70, , 
            1,     0.3727362, ,             0,     0.6603183, ,             0,     0.5342257, ,             0,     0.4716768, ,             0,     0.4344953, ,             0,     0.4100331, ,             0,     0.3928423, ,             1,     0.4405863, ,             1,     0.4173695, ,             1,     0.3986011, , 
            2,     0.4293426, ,             1,      0.801625, ,             1,     0.6451035, ,             1,     0.5671367, ,             1,     0.5206747, ,             1,     0.4900602, ,             1,     0.4685297, ,             2,     0.5100937, ,             2,       0.48228, ,             2,     0.4598737, , 
            3,     0.4854044, , , , ,             2,     0.7549188, ,             2,     0.6617532, ,             2,     0.6061286, ,             2,     0.5694336, ,             2,     0.5436108, ,             3,     0.5789581, ,             3,     0.5465929, ,             3,     0.5205797, , 
            4,     0.5408355, , , , ,             3,     0.8635383, ,             3,     0.7554089, ,             3,     0.6907488, ,             3,     0.6480511, ,             3,     0.6179872, ,             4,     0.6470876, ,             4,     0.6102198, ,             4,     0.5806326, , 
            5,     0.5955512, , , , , , , ,             4,     0.8479885, ,             4,      0.774429, ,             4,     0.7258119, ,             4,     0.6915623, ,             5,     0.7143919, ,             5,     0.6730737, ,             5,     0.6399476, , 
            6,     0.6494687, , , , , , , , , , ,             5,     0.8570652, ,             5,     0.8026178, ,             5,     0.7642413, ,             6,     0.7807829, ,             6,     0.7350697, ,             6,     0.6984414, , 
            7,     0.7025068, , , , , , , , , , , , , ,             6,     0.8783724, ,             6,     0.8359317, ,             7,     0.8461745, ,             7,     0.7961246, ,             7,     0.7560329, , 
            8,     0.7545869, , , , , , , , , , , , , , , , ,             7,     0.9065432, ,             8,     0.9104831, ,             8,     0.8561578, ,             8,     0.8126431, , 
            9,     0.8056322, , , , , , , , , , , , , , , , , , , , , , ,             9,      0.915091, ,             9,     0.8681952, , 
           10,     0.8555689, , , , , , , , , , , , , , , , , , , , , , , , , ,            10,     0.9226151, , 

